ComplaintID,BuildingID,BoroughID,Borough,HouseNumber,StreetName,Zip,Block,Lot,Apartment,CommunityBoard,ReceivedDate,StatusID,Status,StatusDate
6323618,806991,2,BRONX,710,TINTON AVENUE,10455,2665,1,16F,1,02/15/2013,2,CLOSE,02/20/2015
6329735,392483,3,BROOKLYN,109,WEST 9 STREET,11231,536,42,BLDG,6,02/19/2013,2,CLOSE,07/26/2014
6339885,394748,3,BROOKLYN,3021,WEST 25 STREET,11224,7070,1,4F,13,02/25/2013,2,CLOSE,02/20/2015
6356133,112539,2,BRONX,1723,TAYLOR AVENUE,10460,4020,22,1B,11,03/08/2013,2,CLOSE,03/20/2013
6361553,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,6,6,03/13/2013,2,CLOSE,02/24/2016
6362708,806641,2,BRONX,1120,EAST 229 STREET,10466,4905,1,2A,12,03/14/2013,2,CLOSE,02/20/2015
6372622,66168,2,BRONX,943,EAST 179 STREET,10460,3127,35,NA,6,03/21/2013,2,CLOSE,03/23/2013
6373420,66168,2,BRONX,943,EAST 179 STREET,10460,3127,35,NA,6,03/21/2013,2,CLOSE,03/23/2013
6373414,66168,2,BRONX,943,EAST 179 STREET,10460,3127,35,6,6,03/21/2013,2,CLOSE,03/23/2013
6373718,66168,2,BRONX,943,EAST 179 STREET,10460,3127,35,8,6,03/21/2013,2,CLOSE,03/23/2013
6373922,66168,2,BRONX,943,EAST 179 STREET,10460,3127,35,5,6,03/22/2013,2,CLOSE,03/23/2013
6382701,808185,3,BROOKLYN,671,EAST 105 STREET,11236,8174,1,6E,18,03/29/2013,2,CLOSE,02/20/2015
6391354,804005,1,MANHATTAN,1430,AMSTERDAM AVENUE,10027,1984,1,NA,9,04/07/2013,2,CLOSE,02/20/2015
6392072,807075,2,BRONX,1250,WEBSTER AVENUE,10456,2395,1,8D,3,04/08/2013,2,CLOSE,02/20/2015
6399144,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,4N,6,04/12/2013,2,CLOSE,02/24/2016
6398941,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,6B,6,04/12/2013,2,CLOSE,02/24/2016
